name,description,stars,forks,language,readme,topic,summary
brise-bureau-hack,Incubator for AI - Paris Hackathon - Generative AI for the Public Good,0,1,Python,"# Incubator for AI: Paris Generative AI for the Public Good Hackathon

> [!IMPORTANT]
> Hackathon pr",generative-ai-for-public-good,"The repository hosts resources and initiatives related to the ""Incubator for AI: Paris Generative AI for the Public Good Hackathon."" It focuses on leveraging generative AI to address societal challenges and promote public welfare. Participants collaborate on innovative solutions during the hackathon to harness AI for social impact."
caddy-chatbot,Caddy is an AI powered co-pilot for customer service functions everywhere.,20,8,Python,"# Caddy Chatbot

Caddy is an LLM powered co-pilot for customer service functions everywhere. This co",generative-ai-for-public-good,"Caddy is an AI-driven chatbot designed to assist with customer service functions using large language models (LLMs). It acts as a co-pilot, enhancing efficiency and support in customer interactions across various domains."
caddy-scraper,No description,3,3,Python,"# Caddy Scraper

This is the modular scraper designed for [caddy-chatbot](https://github.com/i-dot-a",web scraping,"Caddy Scraper is a modular web scraper designed to support the [Caddy Chatbot](https://github.com/i-dot-a). It likely extracts and processes data to enhance the chatbot's functionality. The repository focuses on modular design, enabling flexibility and integration with the chatbot system."
cei,No description,0,1,Python,README not available,algorithmic impact assessment,"The repository lacks both a description and a README.md file, so no information is available to summarize its purpose or content."
consult,No description,31,9,JavaScript,"# Consult

Consult is an LLM-powered tool to automate the processing of public consultations.

> [!I",generative-ai-for-public-good,Consult is an AI-powered tool leveraging large language models (LLMs) to automate the processing of public consultations. It aims to streamline and enhance the analysis of feedback in public consultation processes. The repository provides the foundation for developing and deploying this tool.
cookie-cutter,No description,0,0,Python,"## Running the cookiecutter

1. [Install cookiecutter](https://pypi.org/project/cookiecutter/) on yo",automation,"This repository provides instructions for using Cookiecutter, a tool for creating project templates. It includes a brief step to install Cookiecutter via the provided link. The README.md content appears incomplete, lacking detailed guidance or description about the specific template or project setup."
crit,Audit your docs,0,0,Python,"# 🖍️ crit: audit your docs

> [!IMPORTANT]
> This is an experiment. It is not ready for production.
",documentation-auditing-tool,crit is an experimental tool designed to audit documentation for quality and accuracy. It is not yet production-ready and is currently in the testing phase.
cruft-iai,"Allows you to maintain all the necessary cruft for packaging and building projects separate from the code you intentionally write. Built on-top of, and fully compatible with, CookieCutter.",0,0,Python,"## Fork Information

This repository has been forked from [cruft](https://github.com/cruft/cruft) by",automation,"This repository is a fork of the original [Cruft](https://github.com/cruft/cruft) and helps developers separate project packaging and building configurations from their main codebase. It is built on top of and fully compatible with CookieCutter, streamlining the management of boilerplate code."
dashboard-sample,No description,1,0,Python,README not available,algorithmic impact assessment,"The GitHub repository lacks both a description and a README.md file. Without any available content or documentation, it is not possible to determine the purpose, functionality, or details of the repository."
django-gov-notify,A GOV.UK Notify flavoured Django email backend,0,0,Python,"# django-gov-notify, a GOV.UK Notify flavoured Django email backend

![GitHub workflow](https://gith",government open-source template,"django-gov-notify is a Django email backend that integrates with GOV.UK Notify, a UK government service for sending emails, SMS, and letters. It provides a seamless way to send emails through GOV.UK Notify directly from Django applications. The package is tailored for developers building applications that require communication functionalities compliant with GOV.UK Notify standards."
django-history-example,Repo to test functionality of django-simple-history.,0,0,Python,"# django-history-example

## About this project

This is an example project to test the functionalit",historical-news-archiving,"This repository, **django-history-example**, is a sample project designed to test the functionality of the Django package **django-simple-history**, which tracks changes to model instances over time. The project serves as a practical demonstration of how the package can be implemented and used in a Django application."
drive,A collaborative file sharing and document management platform that scales. Built with Django and React. Opensource alternative to Sharepoint or Google Drive,0,0,Python,"<p align=""center"">
  <a href=""https://github.com/suitenumerique/drive"">
    <img alt=""Drive banner"" ",file-sharing-and-document-management,"This GitHub repository hosts ""Drive,"" an open-source, scalable file-sharing and document management platform built with Django and React. It serves as an alternative to SharePoint or Google Drive, offering collaborative tools for managing files and documents efficiently. The platform emphasizes ease of use, flexibility, and scalability for various organizational needs. Detailed documentation and installation instructions are provided to help users deploy the solution."
ec2-github-runner,On-demand self-hosted AWS EC2 runner for GitHub Actions,0,0,JavaScript,"# On-demand self-hosted AWS EC2 runner for GitHub Actions

⚠️ If you like the project, please consid",cloud-computing,"The repository provides a solution for setting up an on-demand, self-hosted AWS EC2 runner for GitHub Actions. It allows users to dynamically provision EC2 instances to execute GitHub Actions workflows, offering a scalable and cost-effective alternative to managing static runners. The project is ideal for optimizing resource usage and handling workloads efficiently."
etf-search,Evaluation Registry Search,0,0,None specified,"This purpose of this project is to create an ""Evaluation Registry"" for the Evaluation Task Force (ET",evaluation-data-management,"The repository focuses on building an ""Evaluation Registry"" for the Evaluation Task Force (ET). Its goal is to support efficient searching and management of evaluation-related data within the registry. The project aims to streamline evaluation processes and enhance accessibility for users working on evaluation tasks."
frontend-exercise,No description,0,0,JavaScript,"# Frontend Challenge

Develop a responsive application that fetches live data on books and users as ",web development,"This repository contains a frontend challenge requiring the development of a responsive application. The application should fetch live data on books and users, likely involving API integration. The focus is on creating an interactive and visually adaptable user interface."
frontend-starterkit,No description,0,1,TypeScript,"# I-Dot-Ai Frontend starter kit

Simply run the below. Replace `project_name`

```
npx @idotai/creat",web development,The repository provides a frontend starter kit for I-Dot-Ai projects. Users can initialize a new project by running a specific `npx` command and replacing `project_name` with their desired project name. It is designed to streamline the setup process for I-Dot-Ai frontend development.
fse-tech-test,Technical test for full stack engineers,0,0,Python,"# Technical test for Lead Full Stack Engineer

## Scenario

An AI engineer in the incubator has comp",full-stack-engineer-evaluation,This GitHub repository contains a technical test designed for Lead Full Stack Engineers. The test revolves around a scenario where an AI engineer in an incubator is involved. The repository likely includes tasks or challenges to assess full-stack engineering skills in the context of AI-related development.
gov-ai-client,No description,0,0,TypeScript,[![build](https://github.com/i-dot-ai/gov-ai-client/actions/workflows/build.yml/badge.svg?branch=mai,archived-project,"The GitHub repository appears to include a client for interacting with government-related AI systems, as indicated by its name, ""gov-ai-client."" The README.md content is incomplete, showing only a badge for build status, which tracks the success of automated workflows. No further details or documentation are provided, making it difficult to discern the repository's specific functionality or purpose."
gov_tech_aggregator,An aggregator for open source government code,1,1,None specified,README not available,algorithmic impact assessment,"This GitHub repository is an aggregator for open-source government code, aiming to centralize and provide access to publicly available government software projects. Since the README.md is not available, specific implementation details or features are unclear. The repository likely serves as a resource for discovering, sharing, and collaborating on open-source projects developed by or for government entities."
hackdays2025,"For three days, take part in the creation of open-source apps aimed at strengthening European digital sovereignty.",0,0,Python,![Hack Days Banner](https://cdn.bsky.app/img/feed_thumbnail/plain/did:plc:k2arf4k6glr2mshjghvrb5uj/b,european-digital-sovereignty-hackathon,"The GitHub repository is dedicated to a three-day hackathon event focused on developing open-source applications to promote European digital sovereignty. Participants collaborate to create innovative solutions that support the region’s technological independence and security. The README provides event-related details, encouraging developers to contribute to impactful projects."
i-dot-ai-core-github-actions,Core github actions for projects across i-dot-ai workspace,1,1,None specified,"# i-dot-ai-core-github-actions
Core github actions for projects across i-dot-ai workspace
",automation,The repository **i-dot-ai-core-github-actions** contains core GitHub Actions workflows designed for projects within the i-dot-ai workspace. These reusable workflows aim to streamline and standardize automation processes across various i-dot-ai projects.
lex,No description,5,0,Python,"# ⚖️ Lex


Lex is a comprehensive legislative service that downloads, parses, and indexes legislatio",government datasets,"Lex is a legislative service designed to download, parse, and index legislation. It aims to provide a comprehensive solution for accessing and managing legislative documents efficiently."
lex-graph,Building a knowledge graph of UK legislation,9,2,Jupyter Notebook,"# Lex Graph 🕸️
[![PRs Welcome](https://img.shields.io/badge/PRs-welcome-brightgreen.svg?style=flat-s",semantic-web-development,Lex Graph is a project aimed at constructing a knowledge graph of UK legislation. It organizes and interlinks legal information to provide structured insights into legislative documents. The repository encourages contributions from developers and researchers interested in legal informatics.
